timestep,mkt_C_el,mkt_C_fuel,mkt_C_el1
1,-100,20,13.15
2,-100,20,12.09
3,-100,20,11.7
4,-100,20,11.66
5,-100,20,11.35
6,-100,20,9.85
7,-100,20,9.54
8,-100,20,9.49
9,-100,20,11.64
10,-100,20,11.94
11,-100,20,12.96
12,-100,20,15.24
13,-100,20,16.96
14,-100,20,26.06
15,-100,20,32.11
16,-100,20,32.88
17,-100,20,32.22
18,-100,20,30.63
19,-100,20,28.64
20,-100,20,20.09
21,-100,20,15.1
22,-100,20,13.69
23,-100,20,15.15
24,-100,20,12.95
25,30.86,20,30.86
26,62.33,20,62.33
27,52.94,20,52.94
28,7.66,20,7.66
29,35.9,20,35.9
30,7.02,20,7.02
31,0.06,20,0.06
32,33.78,20,33.78
33,-0.04,20,-0.04
34,37.97,20,37.97
35,53.53,20,53.53
36,30.63,20,30.63
37,11.8,20,11.8
38,30.44,20,30.44
39,39.54,20,39.54
40,1.92,20,1.92
41,30.64,20,30.64
42,7.06,20,7.06
43,32.18,20,32.18
44,21.31,20,21.31
45,37.42,20,37.42
46,36.24,20,36.24
47,35.47,20,35.47
48,33.56,20,33.56
49,31.12,20,31.12
50,30.96,20,30.96
51,31.96,20,31.96
52,30.96,20,30.96
53,33.13,20,33.13
54,13.15,20,13.15
55,28.27,20,28.27
56,31.94,20,31.94
57,19.02,20,19.02
58,30.46,20,30.46
59,30.39,20,30.39
60,30.43,20,30.43
61,25.61,20,25.61
62,36.98,20,36.98
63,16.01,20,16.01
64,26.32,20,26.32
65,26.1,20,26.1
66,24.01,20,24.01
67,27.4,20,27.4
68,31.45,20,31.45
69,30.99,20,30.99
70,31.66,20,31.66
71,11.67,20,11.67
72,34.97,20,34.97
73,37.2,20,37.2
74,29.44,20,29.44
75,36.38,20,36.38
76,34.96,20,34.96
77,8.72,20,8.72
78,34.18,20,34.18
79,43.49,20,43.49
80,26.86,20,26.86
81,29.4,20,29.4
82,40.97,20,40.97
83,9.84,20,9.84
84,8.96,20,8.96
85,29.03,20,29.03
86,24.3,20,24.3
87,32.02,20,32.02
88,7.93,20,7.93
89,29.65,20,29.65
90,31.92,20,31.92
91,18.4,20,18.4
92,37.32,20,37.32
93,5.18,20,5.18
94,10.07,20,10.07
95,5.23,20,5.23
96,37.36,20,37.36
97,22.08,20,22.08
98,40.13,20,40.13
99,32.45,20,32.45
100,34.67,20,34.67
101,28.81,20,28.81
102,29.91,20,29.91
103,11.38,20,11.38
104,13.33,20,13.33
105,30.9,20,30.9
106,28.06,20,28.06
107,33.16,20,33.16
108,34.94,20,34.94
109,19.92,20,19.92
110,28.41,20,28.41
111,11.56,20,11.56
112,29.4,20,29.4
113,11.66,20,11.66
114,27.42,20,27.42
115,38.49,20,38.49
116,10.96,20,10.96
117,11,20,11
118,14.69,20,14.69
119,32.07,20,32.07
120,13.77,20,13.77
121,13.84,20,13.84
122,29,20,29
123,29.48,20,29.48
124,9.85,20,9.85
125,26.09,20,26.09
126,28.11,20,28.11
127,31.41,20,31.41
128,11.89,20,11.89
129,30.19,20,30.19
130,28.16,20,28.16
131,30.77,20,30.77
132,28.34,20,28.34
133,3.98,20,3.98
134,11.55,20,11.55
135,8.24,20,8.24
136,29,20,29
137,27.71,20,27.71
138,28.14,20,28.14
139,13.21,20,13.21
140,26.06,20,26.06
141,27.82,20,27.82
142,26.02,20,26.02
143,5.09,20,5.09
144,28.04,20,28.04
145,6.52,20,6.52
146,30.84,20,30.84
147,20.06,20,20.06
148,9.26,20,9.26
149,52.92,20,52.92
150,30.91,20,30.91
151,30.09,20,30.09
152,54.44,20,54.44
153,29.99,20,29.99
154,47.99,20,47.99
155,30.92,20,30.92
156,34.99,20,34.99
157,32.91,20,32.91
158,28.59,20,28.59
159,0.07,20,0.07
160,2.05,20,2.05
161,7.59,20,7.59
162,43,20,43
163,46,20,46
164,28.14,20,28.14
165,0.07,20,0.07
166,26.07,20,26.07
167,31.17,20,31.17
168,35.81,20,35.81
169,30.13,20,30.13
170,31.14,20,31.14
171,31.18,20,31.18
172,46.2,20,46.2
173,11.34,20,11.34
174,35.92,20,35.92
175,62.96,20,62.96
176,38.97,20,38.97
177,22.41,20,22.41
178,30.31,20,30.31
179,50.95,20,50.95
180,12.67,20,12.67
181,31.22,20,31.22
182,57.67,20,57.67
183,33.51,20,33.51
184,14.61,20,14.61
185,11.37,20,11.37
186,49.96,20,49.96
187,22.01,20,22.01
188,48.39,20,48.39
189,29.28,20,29.28
190,33.53,20,33.53
191,37.68,20,37.68
192,30.3,20,30.3
